Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
23,temperature,2015-01-20,5,120,A,168-16,WC,21,WC21,3,43540.08,11.59
24,temperature,2015-01-20,5,120,A,168-16,WC,15,WC15,3,50768.41,11.59
1,temperature,2015-01-20,5,0,B,156-4,ASW,21,ASW21,1,18114.47,15.53
2,temperature,2015-01-20,5,0,B,156-4,ASW,15,ASW15,1,10145.26,15.53
3,temperature,2015-01-20,5,0,B,156-4,WC,21,WC21,1,15672.49,11.59
4,temperature,2015-01-20,5,0,B,156-4,WC,15,WC15,1,13196.51,11.59
5,temperature,2015-01-20,5,0,B,156-4,ASW,21,ASW21,2,14611.38,15.53
6,temperature,2015-01-20,5,0,B,156-4,ASW,15,ASW15,2,13188.96,15.53
7,temperature,2015-01-20,5,0,B,156-4,WC,21,WC21,2,13975.75,11.59
8,temperature,2015-01-20,5,0,B,156-4,WC,15,WC15,2,12344.25,11.59
9,temperature,2015-01-20,5,0,B,156-4,ASW,21,ASW21,3,15209.05,15.53
10,temperature,2015-01-20,5,0,B,156-4,ASW,15,ASW15,3,13471.94,15.53
11,temperature,2015-01-20,5,0,B,156-4,WC,21,WC21,3,16278.96,11.59
12,temperature,2015-01-20,5,0,B,156-4,WC,15,WC15,3,13312.06,11.59
13,temperature,2015-01-20,5,0,B,168-16,ASW,21,ASW21,1,15338.38,15.53
14,temperature,2015-01-20,5,0,B,168-16,ASW,15,ASW15,1,9949.02,15.53
15,temperature,2015-01-20,5,0,B,168-16,WC,21,WC21,1,14245.84,11.59
16,temperature,2015-01-20,5,0,B,168-16,WC,15,WC15,1,10211.76,11.59
17,temperature,2015-01-20,5,0,B,168-16,ASW,21,ASW21,2,14982.93,15.53
18,temperature,2015-01-20,5,0,B,168-16,ASW,15,ASW15,2,10010.54,15.53
19,temperature,2015-01-20,5,0,B,168-16,WC,21,WC21,2,12076.34,11.59
20,temperature,2015-01-20,5,0,B,168-16,WC,15,WC15,2,8966.53,11.59
21,temperature,2015-01-20,5,0,B,168-16,ASW,21,ASW21,3,13760.82,15.53
22,temperature,2015-01-20,5,0,B,168-16,ASW,15,ASW15,3,9829.79,15.53
23,temperature,2015-01-20,5,0,B,168-16,WC,21,WC21,3,9898.13,11.59
24,temperature,2015-01-20,5,0,B,168-16,WC,15,WC15,3,10077.81,11.59
1,temperature,2015-01-21,6,24,B,156-4,ASW,21,ASW21,1,21819.16,14.78
2,temperature,2015-01-21,6,24,B,156-4,ASW,15,ASW15,1,13531.12,14.78
3,temperature,2015-01-21,6,24,B,156-4,WC,21,WC21,1,15488.63,11.44
4,temperature,2015-01-21,6,24,B,156-4,WC,15,WC15,1,15151.63,11.44
5,temperature,2015-01-21,6,24,B,156-4,ASW,21,ASW21,2,18535.79,14.78
6,temperature,2015-01-21,6,24,B,156-4,ASW,15,ASW15,2,14808.17,14.78
7,temperature,2015-01-21,6,24,B,156-4,WC,21,WC21,2,14768.41,11.44
8,temperature,2015-01-21,6,24,B,156-4,WC,15,WC15,2,15467.92,11.44
9,temperature,2015-01-21,6,24,B,156-4,ASW,21,ASW21,3,19608.2,14.78
